Name,Street_Address,Location,Type,Reviews,No of Reviews,Comments,Contact_Number,Restaurant_url,Menu,Image_url
The Capital Grille,155 E 42nd St,"New York City, NY 10017-5608"," American, Steakhouse, Vegetarian Friendly",4.5,932,Service was great and the steaks were awesome. I highly recommend this Capital Grill when In NYC. Everyone was accomodating.,+1 212-953-2000,https://www.tripadvisor.com/Restaurant_Review-g60763-d1018334-Reviews-The_Capital_Grille-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/90/6e/64/caption.jpg?w=900&h=500&s=1
Murray's Cheese,254 Bleecker St,"New York City, NY 10014-4101"," Deli, Vegetarian Friendly",4.5,258,Murray's Cheeses on Bleecker St NYC is the MECCA for cheese lovers. They have a HUGE variety of cheeses; they even allow taste testing of any cheese you want. ,+1 212-243-3289,https://www.tripadvisor.com/Restaurant_Review-g60763-d4101382-Reviews-Murray_s_Cheese-New_York_City_New_York.html,http://Www.murrayscheese.com/catering-menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/21/b2/64/photo0jpg.jpg?w=900&h=500&s=1
Daniel,60 East 65th Street,"New York City, NY 10065-7056"," French, Vegetarian Friendly, Vegan Options",4.5,3274,"Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food  is amazing.",212 288 0033,https://www.tripadvisor.com/Restaurant_Review-g60763-d457808-Reviews-Daniel-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/a9/1d/78/daniel.jpg?w=900&h=500&s=1
Los Tacos No. 1,229 W 43rd St,"New York City, NY 10036-3982"," Mexican, Latin, Central American",4.5,515,This place is a must if your a taco fan.  I think it’s the best place to satisfy a Mexican craving.  It’s worth the wait as it will please your tastebuds and you will be back for more. ,+1 212-574-4696,https://www.tripadvisor.com/Restaurant_Review-g60763-d12874338-Reviews-Los_Tacos_No_1-New_York_City_New_York.html,http://lostacos1.com/menus/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f1/0d/db/los-tacos-no-1.jpg?w=1200&h=-1&s=1
Red Rooster Harlem,310 Lenox Avenue,"New York City, NY 10027-4449"," American, Bar, Vegetarian Friendly",4,2518,"Make sure you have a reservation as we showed up at our appointed time and there were people waiting for a table. We basically sat right down to the ""looks"" of them.",+1 212-792-9001,https://www.tripadvisor.com/Restaurant_Review-g60763-d2005333-Reviews-Red_Rooster_Harlem-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/3b/b6/04/red-rooster-harlem.jpg?w=600&h=400&s=1
Numero 28 Pizzeria,28 Carmine St,"New York City, NY 10014-4437"," Italian, Pizza, Neapolitan",4.5,1076,"Our family has become snobby when it comes to pizza.  Chain stores don’t cut it.  THIS pizza wins an award!  We all loved it.  The sauce and toppings were fresh, and the crust was perfect.  Spectacular!",+1 212-463-9653,https://www.tripadvisor.com/Restaurant_Review-g60763-d1072874-Reviews-Numero_28_Pizzeria-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/b5/c1/39/photo4jpg.jpg?w=900&h=500&s=1
Atera,77 Worth St,"New York City, NY 10013-3411"," Vegetarian Friendly, Gluten Free Options",4.5,194,"Atera is indeed a Michelin grade restaurant, no doubt about that.  But the atmosphere left a lot to be desired. ",+1 212-226-1444,https://www.tripadvisor.com/Restaurant_Review-g60763-d3599839-Reviews-Atera-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/1c/84/ab/atera.jpg?w=1200&h=-1&s=1
San Carlo Osteria Piemonte,90 Thompson St,"New York City, NY 10012-3744"," Italian, Mediterranean, Vegetarian Friendly",4.5,695,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,https://www.tripadvisor.com/Restaurant_Review-g60763-d10032108-Reviews-San_Carlo_Osteria_Piemonte-New_York_City_New_York.html,http://www.sancarlonyc.com/menu/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/fa/8e/10/halibut.jpg?w=1200&h=-1&s=1
Broadway Bagel,2658 Broadway,"New York City, NY 10025-5023"," American, Cafe, Vegetarian Friendly",4.5,230,Very delicious egg & cheese bagel at a very good price. Also try the brownie. It’s worth it for sure :),+1 212-662-0231,https://www.tripadvisor.com/Restaurant_Review-g60763-d3948791-Reviews-Broadway_Bagel-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/10/25/8b/photo3jpg.jpg?w=900&h=500&s=1
Smoke Jazz Club,2751 Broadway,"New York City, NY 10025-2803"," American, Vegetarian Friendly, Gluten Free Options",4,544,"Booked here for restaurant week whilst in NYC and got an expensive taxi out from midtown to visit, very disappointed to find that despite it saying clearly online on restaurant week that there was no music charge on Monday.",+1 212-864-6662,https://www.tripadvisor.com/Restaurant_Review-g60763-d1052364-Reviews-Smoke_Jazz_Club-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/12/83/54/smoke-jazz-club.jpg?w=900&h=500&s=1
